col1
Date (Created),Feb-02-2022,0,0
Julian Date,21398,0,0
Experiment ID,1,0,0
Series ID,1,0,0
Run No.,1,0,0
Hardware Version,NORD COND V2,0,0
uC Software Version,SW FEB 2022,0,0
Logging Period [s],1000,0,0
Sampling Rate [ms],50,0,0
Acq. Start Date,Feb-02-2022,0,0
Acq. Start Time,12:22:04,0,0
0: 12.5kHz 1:6.25kHz,1,0,0
col2
Windows Width [smp],,0,0
Noise Level CH1  [uV],0.0,0,0
Noise Level CH2  [uV],0.0,0,0
Noise Level CH3  [uV],0.0,0,0
Noise Level CH4  [uV],0.0,0,0
Noise Level CH5  [uV],0.0,0,0
Noise Level CH6  [uV],0.0,0,0
Noise Level CH7  [uV],0.0,0,0
Noise Level CH8  [uV],0.0,0,0
Noise Level CH9  [uV],0.0,0,0
Noise Level CH10 [uV],0.0,0,0
Noise Level CH11 [uV],0.0,0,0
Noise Level CH12 [uV],0.0,0,0
Noise Level CH13 [uV],0.0,0,0
Noise Level CH14 [uV],0.0,0,0
col3
External Ref Type,,0,0
CH1  Sensor  Type,rms0,0,0
CH2  Sensor  Type,rms1,0,0
CH3  Sensor  Type,rms2,0,0
CH4  Sensor  Type,Conductivity 1,0,0
CH5  Sensor  Type,Conductivity 2,0,0
CH6  Sensor  Type,Frequency,0,0
CH7  Sensor  Type,,0,0
CH8  Sensor  Type,,0,0
CH9  Sensor  Type,,0,0
CH10 Sensor  Type,,0,0
CH11 Sensor  Type,,0,0
CH12 Sensor  Type,,0,0
CH13 Sensor  Type,,0,0
CH14 Sensor  Type,,0,0
endsetting
0,50.0,0.14197,0.21481,0.14373,50.89614,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,102.0,0.14206,0.21491,0.14382,50.91264,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,152.0,0.14202,0.21483,0.14378,50.92823,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,202.0,0.14208,0.21476,0.14384,51.04465,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,252.0,0.14204,0.21472,0.1438,51.02952,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,302.0,0.14207,0.21486,0.14383,50.9633,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,352.0,0.14201,0.2149,0.14377,50.86804,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,402.0,0.14204,0.21477,0.1438,50.98784,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,452.0,0.14202,0.21481,0.14377,50.93918,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,502.0,0.14208,0.21473,0.14384,51.0635,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,552.0,0.14212,0.21469,0.14388,51.13775,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,602.0,0.14208,0.21491,0.14384,50.93255,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
