col1
Date (Created),Sep-13-2021,0,0
Julian Date,2459471.1974884258,0,0
Experiment ID,IDex002,0,0
Series ID,1,0,0
Run No.,1,0,0
Hardware Version,,0,0
uC Software Version,,0,0
Logging Period [s],800,0,0
Sampling Rate [ms],50,0,0
Acq. Start Date,,0,0
Acq. Start Time,,0,0
col2
Windows Width [smp],300,0,0
Noise Level CH1  [uV],0,0,0
Noise Level CH2  [uV],0,0,0
Noise Level CH3  [uV],0,0,0
Noise Level CH4  [uV],0,0,0
Noise Level CH5  [uV],0,0,0
Noise Level CH6  [uV],0,0,0
Noise Level CH7  [uV],0,0,0
Noise Level CH8  [uV],0,0,0
Noise Level CH9  [uV],0,0,0
Noise Level CH10 [uV],0,0,0
Noise Level CH11 [uV],0,0,0
Noise Level CH12 [uV],0,0,0
Noise Level CH13 [uV],0,0,0
Noise Level CH14 [uV],0,0,0
col3
External Ref Type,,0,0
CH1  Sensor  Type,PH,0,0
CH2  Sensor  Type,CO3,0,0
CH3  Sensor  Type,Na+,0,0
CH4  Sensor  Type,K+,0,0
CH5  Sensor  Type,Cl-,0,0
CH6  Sensor  Type,Mg++,0,0
CH7  Sensor  Type,Gloucose,0,0
CH8  Sensor  Type,Hemo,0,0
CH9  Sensor  Type,chemical,0,0
CH10 Sensor  Type,Conductivity,0,0
CH11 Sensor  Type,Cond2,0,0
CH12 Sensor  Type,Sensor,0,0
CH13 Sensor  Type,F-,0,0
CH14 Sensor  Type,He,0,0
endsetting
0,1.0,0.14218,0.22249,0.47991,50.9219,61.92664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,51.0,0.14218,0.22247,0.47991,50.92519,61.92704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,101.0,0.14219,0.22244,0.47994,50.93407,61.92766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,151.0,0.14218,0.22242,0.47992,50.94412,61.92812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,201.0,0.14218,0.22238,0.47993,50.95864,61.92782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,251.0,0.14214,0.22235,0.47993,50.9704,61.92313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,301.0,0.14214,0.22231,0.47991,50.9833,61.91848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,351.0,0.14214,0.22229,0.47985,50.99186,61.91522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,401.0,0.14215,0.22229,0.47988,51.00263,61.91288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,451.0,0.14213,0.22228,0.47987,51.00629,61.90949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,501.0,0.1422,0.2223,0.47988,51.02329,61.91863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,551.0,0.14221,0.22237,0.4799,51.02922,61.92712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,601.0,0.14219,0.22238,0.47995,51.02909,61.93021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,651.0,0.14219,0.22238,0.47993,51.02551,61.93345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,701.0,0.1422,0.2224,0.47993,51.02392,61.93964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,751.0,0.14217,0.2224,0.47994,51.00508,61.93285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,801.0,0.14215,0.22236,0.47992,50.99371,61.92488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,851.0,0.14215,0.22239,0.4799,50.98383,61.92121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,901.0,0.14214,0.22238,0.47994,50.97264,61.91372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,951.0,0.14217,0.22238,0.47994,50.96981,61.90999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,1001.0,0.14219,0.22239,0.47992,50.97544,61.91337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,1051.0,0.1422,0.22242,0.47996,50.97734,61.91787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,1101.0,0.14219,0.2224,0.47994,50.9845,61.92184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,1151.0,0.14218,0.22241,0.47989,50.98962,61.92954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,1201.0,0.14215,0.22241,0.47985,50.98042,61.92942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,1251.0,0.14212,0.22239,0.47983,50.966,61.92388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,1301.0,0.14212,0.22237,0.47985,50.95822,61.91885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,1351.0,0.14213,0.2224,0.47986,50.94539,61.91394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,1401.0,0.14213,0.22236,0.47988,50.94175,61.90799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,1451.0,0.14216,0.22236,0.47991,50.95151,61.90754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,1501.0,0.14216,0.22235,0.47991,50.96482,61.91019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,1551.0,0.14215,0.22234,0.47983,50.97395,61.91436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,1601.0,0.14219,0.22231,0.47988,50.99734,61.92122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,1651.0,0.1422,0.22233,0.4799,51.01455,61.9291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,1701.0,0.14216,0.22238,0.47997,51.01053,61.92681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,1751.0,0.14219,0.22242,0.48003,51.00805,61.92624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,1801.0,0.14218,0.22245,0.48007,50.9993,61.92097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,1851.0,0.14215,0.22247,0.48003,50.97182,61.91086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,1901.0,0.14214,0.22246,0.48004,50.94278,61.89771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,1951.0,0.14216,0.22245,0.48,50.93519,61.89678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,2001.0,0.1422,0.22243,0.47997,50.93545,61.89953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,2051.0,0.14222,0.22241,0.47999,50.94974,61.90778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,2101.0,0.14224,0.22242,0.48,50.97325,61.91977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,2151.0,0.14228,0.22246,0.48001,51.00324,61.93906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,2201.0,0.1423,0.22243,0.48001,51.03248,61.95526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,2251.0,0.14228,0.22242,0.47999,51.04991,61.9649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,2301.0,0.14227,0.22241,0.48,51.06051,61.9708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,2351.0,0.14229,0.22238,0.47994,51.0753,61.97847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,2401.0,0.14227,0.22237,0.47993,51.08372,61.97984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,2451.0,0.14225,0.22237,0.47988,51.08151,61.97875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,2501.0,0.1422,0.22238,0.47985,51.07188,61.97449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,2551.0,0.1422,0.22237,0.47979,51.06287,61.97342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,2601.0,0.1422,0.22238,0.47983,51.04471,61.96678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,2651.0,0.14217,0.22237,0.4798,51.02473,61.95886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,2701.0,0.14218,0.22239,0.47984,51.00857,61.95161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,2751.0,0.14222,0.22238,0.47988,51.01094,61.95219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,2801.0,0.14222,0.22239,0.47993,51.01076,61.94852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,2851.0,0.14218,0.22237,0.47996,51.00822,61.94112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,2901.0,0.14222,0.22235,0.47995,51.02011,61.94152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,2951.0,0.14218,0.22232,0.47991,51.02969,61.93964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,3001.0,0.14214,0.22231,0.4799,51.02373,61.92994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,3051.0,0.14211,0.22229,0.47987,51.01542,61.91981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,3101.0,0.14212,0.22229,0.47984,51.0143,61.91757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,3151.0,0.1421,0.22231,0.47985,50.99558,61.90701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,3201.0,0.14216,0.22229,0.47985,50.99526,61.90675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,3251.0,0.1422,0.22227,0.47986,51.01074,61.91442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,3301.0,0.14225,0.22226,0.47983,51.04095,61.93204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,3351.0,0.14227,0.22226,0.47982,51.07461,61.95042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,3401.0,0.14226,0.22226,0.47978,51.11368,61.97298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,3451.0,0.14221,0.22229,0.47979,51.12246,61.98053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,3501.0,0.1422,0.22233,0.47977,51.11645,61.9845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,3551.0,0.14216,0.22234,0.47978,51.08919,61.97537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,3601.0,0.14217,0.22236,0.47981,51.0553,61.9633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,3651.0,0.14214,0.22237,0.47988,51.01716,61.94496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,3701.0,0.14215,0.22238,0.47988,50.99478,61.93486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,3751.0,0.14213,0.22239,0.47992,50.9729,61.92097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,3801.0,0.14218,0.22241,0.47998,50.9674,61.91625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,3851.0,0.14216,0.2224,0.47996,50.96031,61.9094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,3901.0,0.14218,0.22241,0.47997,50.96274,61.91042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,3951.0,0.14219,0.2224,0.47996,50.96652,61.91148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,4001.0,0.14221,0.2224,0.47994,50.98025,61.91981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,4051.0,0.1422,0.22239,0.47991,50.98792,61.9251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
