col1
Date (Created),Sep-13-2021,0,0
Julian Date,2459471.1974884258,0,0
Experiment ID,IDex002,0,0
Series ID,1,0,0
Run No.,1,0,0
Hardware Version,,0,0
uC Software Version,,0,0
Logging Period [s],100,0,0
Sampling Rate [ms],50,0,0
Acq. Start Date,,0,0
Acq. Start Time,,0,0
col2
Windows Width [smp],300,0,0
Noise Level CH1  [uV],0,0,0
Noise Level CH2  [uV],0,0,0
Noise Level CH3  [uV],0,0,0
Noise Level CH4  [uV],0,0,0
Noise Level CH5  [uV],0,0,0
Noise Level CH6  [uV],0,0,0
Noise Level CH7  [uV],0,0,0
Noise Level CH8  [uV],0,0,0
Noise Level CH9  [uV],0,0,0
Noise Level CH10 [uV],0,0,0
Noise Level CH11 [uV],0,0,0
Noise Level CH12 [uV],0,0,0
Noise Level CH13 [uV],0,0,0
Noise Level CH14 [uV],0,0,0
col3
External Ref Type,,0,0
CH1  Sensor  Type,PH,0,0
CH2  Sensor  Type,CO3,0,0
CH3  Sensor  Type,Na+,0,0
CH4  Sensor  Type,K+,0,0
CH5  Sensor  Type,Cl-,0,0
CH6  Sensor  Type,Mg++,0,0
CH7  Sensor  Type,Gloucose,0,0
CH8  Sensor  Type,Hemo,0,0
CH9  Sensor  Type,chemical,0,0
CH10 Sensor  Type,Conductivity,0,0
CH11 Sensor  Type,Cond2,0,0
CH12 Sensor  Type,Sensor,0,0
CH13 Sensor  Type,F-,0,0
CH14 Sensor  Type,He,0,0
endsetting
0,0.0,0.14194,0.22191,0.47946,51.10574,61.88509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,50.0,0.14194,0.22191,0.4795,51.09223,61.87838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,100.0,0.14197,0.22202,0.47944,51.07344,61.87965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,150.0,0.14206,0.22204,0.47951,51.07005,61.88924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,200.0,0.14209,0.222,0.47955,51.07693,61.89523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,250.0,0.1421,0.222,0.47942,51.0973,61.91609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,300.0,0.14207,0.22205,0.47942,51.10408,61.93425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,350.0,0.14206,0.22201,0.47941,51.122,61.94592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,400.0,0.14201,0.22203,0.47931,51.11381,61.94728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,450.0,0.14199,0.22208,0.47927,51.08346,61.94493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,500.0,0.14201,0.22202,0.47929,51.06238,61.93888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,550.0,0.14206,0.22202,0.47931,51.06467,61.94264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,600.0,0.14207,0.22199,0.47931,51.06842,61.94743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
