col1
Date (Created),Sep-13-2021,0,0
Julian Date,2459471.1974884258,0,0
Experiment ID,IDex002,0,0
Series ID,1,0,0
Run No.,1,0,0
Hardware Version,,0,0
uC Software Version,,0,0
Logging Period [s],1500,0,0
Sampling Rate [ms],30,0,0
Acq. Start Date,,0,0
Acq. Start Time,,0,0
col2
Windows Width [smp],300,0,0
Noise Level CH1  [uV],0,0,0
Noise Level CH2  [uV],0,0,0
Noise Level CH3  [uV],0,0,0
Noise Level CH4  [uV],0,0,0
Noise Level CH5  [uV],0,0,0
Noise Level CH6  [uV],0,0,0
Noise Level CH7  [uV],0,0,0
Noise Level CH8  [uV],0,0,0
Noise Level CH9  [uV],0,0,0
Noise Level CH10 [uV],0,0,0
Noise Level CH11 [uV],0,0,0
Noise Level CH12 [uV],0,0,0
Noise Level CH13 [uV],0,0,0
Noise Level CH14 [uV],0,0,0
col3
External Ref Type,,0,0
CH1  Sensor  Type,PH,0,0
CH2  Sensor  Type,CO3,0,0
CH3  Sensor  Type,Na+,0,0
CH4  Sensor  Type,K+,0,0
CH5  Sensor  Type,Cl-,0,0
CH6  Sensor  Type,Mg++,0,0
CH7  Sensor  Type,Gloucose,0,0
CH8  Sensor  Type,Hemo,0,0
CH9  Sensor  Type,chemical,0,0
CH10 Sensor  Type,Conductivity,0,0
CH11 Sensor  Type,Cond2,0,0
CH12 Sensor  Type,Sensor,0,0
CH13 Sensor  Type,F-,0,0
CH14 Sensor  Type,He,0,0
endsetting
0,0.0,0.14216,0.22214,0.47954,51.06637,61.96473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,30.0,0.14213,0.22213,0.47954,51.08677,61.96811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,60.0,0.14215,0.22214,0.47952,51.10303,61.97298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,90.0,0.14213,0.22214,0.47946,51.10962,61.97808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,120.0,0.1421,0.22215,0.47948,51.10061,61.97358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,150.0,0.14211,0.22217,0.4795,51.08642,61.96815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,180.0,0.14207,0.22219,0.47948,51.06658,61.96315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,210.0,0.14208,0.2222,0.47949,51.04441,61.95541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,240.0,0.14209,0.22222,0.47953,51.02718,61.94815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,270.0,0.14211,0.22223,0.47956,51.01937,61.94655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,300.0,0.14212,0.22224,0.47956,51.013,61.94565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,330.0,0.14214,0.22224,0.47959,51.02097,61.95016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,360.0,0.14211,0.22225,0.47963,51.02192,61.94963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,390.0,0.14213,0.22226,0.47968,51.02433,61.94895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,420.0,0.14214,0.22224,0.47971,51.02979,61.9477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,450.0,0.14214,0.22224,0.47971,51.0347,61.94556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,480.0,0.14213,0.22224,0.47975,51.03274,61.93812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,510.0,0.14212,0.22226,0.47978,51.03264,61.93318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,540.0,0.14213,0.22224,0.47973,51.03536,61.93202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,570.0,0.14214,0.22222,0.47966,51.03709,61.93333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,600.0,0.14212,0.22223,0.47967,51.03353,61.93201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,630.0,0.14217,0.22224,0.47962,51.04125,61.94161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,660.0,0.14221,0.22222,0.47959,51.06542,61.96014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,690.0,0.14218,0.22224,0.4796,51.07563,61.97127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,720.0,0.14218,0.22228,0.47966,51.07797,61.9769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,750.0,0.14221,0.22229,0.47966,51.08819,61.98797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,780.0,0.14217,0.22226,0.47969,51.08522,61.98539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,810.0,0.14217,0.22227,0.47967,51.06911,61.97687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
